"Name","Stage","Soundcloud","Description"
"NØ1XerØ","Trash Manor","undefined","This year's cunning disguise for an artist that turned up with a bag of spray paint in 2005 and now makes pictures and sounds all over the Beat-Herder shop. Sometime collaborator on records you might have in your collection, Trash Manor occupant and DJ celebrating 33 years behind the turntables. We don't know who, what, or for that matter why. Some things are better left unknown."
"P Barrett","The Factory","undefined","Forget all your troubles and boogie says P Barrett of Burnley, fetching his deep house mixes up to The Factory to obliterate your blues. We'll keep it to the point and just let Bazza do a number on ya! "
"Paul Briggs","The Perfumed Garden","undefined","North West (UK) based DJ and producer with a love for all things dark/ambient/drone when in the studio or curating the ‘Cosmic Dawn Show’. A resident on Rising Edge Radio and DJ out regularly in and around Manchester, Leeds and Todmorden with an upbeat blend of cosmic/funk/disco sounds and the occasional 303 baseline in there for good measure.                                                                         "
"Peach","Trash Manor","undefined","Ripening on the BH branch for a while now, Peach’ll have you salivating with his uncanny ability to drop the perfect peach of a tune as the moment calls for it. With favourite flavours ranging from crazy cover versions to undiscovered charity-shop gems, this year should see a bumper crop. The fruits of his labour will surely get you sticky sweet…"
"Pilani","Trash Manor","undefined","The African beat the is the driving force. Coming via Cosmic Rituals for the 2nd year at Trash Manor to unleash vintage and new vinyl from the townships of Southern Africa navigating all the way to Timbuktu!"
"Psychederek ","The Fortress","https://soundcloud.com/psychederekmusic","Manchester-based musical madcap Psychederek released his EP “Space Arcade” last year on Sprechen, a gloriously trippy blend of 80s pop, indie dance, shoegaze, goth, Madchester, you name it. It's dancey, it's spacey, it's bloody good and there's plenty of tongue-in-cheek references to keep you grinning. Get freaky at The Fortress!"
"Quality Tom","The Perfumed Garden","undefined","Quality Tom’s intimate involvement in the UK festival and party scenes began in the late 80s as part of the Traveller community, and he remains proudly and steadfastly underground to this day. Tom’s style of deep, funky, techy house is influenced by soundsystems like DiY, Smokescreen, Limbic, and Deep Cartel; artists like Inland Knights, Tony Thomas, and Derrick Carter; and a wide range of genres including funk & disco, reggae & dub, jazz & swing, electronica, and punk.                                                                         "
"Ring The Alarm","Bushrocker Hi-Fi","undefined","Northwest-based soundsystem, club night and label fronted by brothers Lunatix and Organiza, Ring the Alarm have been nicing up the area since 2011. Expect an uplifting mix of digital rubadub and dancehall classics thrown in with their signature stack of dubplates and original productions."
"Roy’s Gone Sideways","The Launderette","undefined","Curated by Upside Your Mind and including master Selectors Ezy Ryder and Amuse Boosh, Saturday night at The Launderrette is taken over by Roy’s Gone Sideways. It’ll sound a bit like Luke Vibert and Bentley Rhythm Ace having a late one back at Bernard Cribbins.                                                 "
"Sara Garvey","The Ring","undefined","High above the Dales somewhere there’s a joyful sunny spot in between the clouds and the mills where Sara Garvey (aka Phoenix Pearle / Ella May / Comfy Bella) is knitting side by side with her tiny dancers, sprinkling some digital-analogue-hybrid hope for the humans with her future-oriented musical flower garden. Jazz, broken beat and house are the strains of choice for this self-proclaimed soulstress specialising in boutique DJ sets."
"The Farmer","The Snug","undefined","Get in me wheelbarrer ya dirty cow! The inebriated seed-sower has come to plough his way through The Snug like a combine harvester set to ‘destroy’. He’s bloody sick of churning butter and squeezing udders so watch out you lot, it’s harvest time!"
"The Garden Soiree","The Perfumed Garden","undefined","Soirée - A sleazy house party for the disco kings, the house queens and the funky in-betweens. Brought to you by two eclectic musical minds, DJ Risqué and James Senneck. Dancing highly encouraged.                                                                               "
"The Lick","Smoky Tentacles","undefined","Lifelong crate digger and long serving DJ on the Norwich party scene Jake Thelick, aka The Lick, will be spinning an eclectic vinyl set spanning Soul and Ska to Funk (and probably a whole bunch of other genres).                                                                             "
"Titty Titty Bang Bang ","The Snug","undefined","The fresh combination of DJs Trendy Wendy and Eva Crystaltips with Mairi Pots'n'Pans on percussion will take your party to the next level! Mixing up all sorts of funk, soul, disco and house with a fair few favourites, floor fillers and an occasional guilty pleasure... Add the energy of live percussion, cowbells, kazoos, a triangle and even the disco balls, these girls will play anything that moves – as long as it moves the dance floor too!                                                                                "
"Trash Manor Family","Trash Manor","undefined","Trash Manor is a collective of artists, musicians, designers, makers and DJs deeply rooted in festival and club soil. They gather together the outsiders, the mutants, the punks, the graffiti writers, the beautiful losers, the travellers, the country ladies and gentlemen...."
"Upside Your Mind","Toil Trees","undefined","The sounds of life! From mindful meanderings on the Voices Radio 'Be More Well' residency to global adventures with ¡TROPICA!, as well as Do It To It Funk_soul_disco archives and open range sessions at Sotano (York), Upside Your Mind will open up your bonce and twist your melon at the Toil Trees. Prepare for the trip..."
"Adam Element","The Snug","https://soundcloud.com/adamelement","Adam Element is an underground house and techno DJ/producer residing in Manchester. Purveyor of all things house & techno, progressive & acid, delivering emotive, raw and gritty underground cuts, Adam has travelled the world with his ‘forward thinking’ DJ sets."
"Bad Barbie","The Snug","undefined","The first of The Snug's Southern representatives, but don't let that put you off . She's queen of the drop and an absolute diamond . Excited for this doesn't even come close."
"Black Kes","The Launderette","https://soundcloud.com/black-kes","The Hull Daily Mail Will Print (Almost Anything)      "
"Brockout","Smoky Tentacles","https://soundcloud.com/djbrock_out?fbclid=IwAR2G3HeNqoojkacW588jThDtuzBy8nMRQ6Ngz2h__3OhRjJCMJprxh1N34o","Brock out with your… you know. All set to get your tent pegged, Brockout brings badness aplenty with jungle, hip hop, techno and breaks mixes like nowt you’ve ever clapped ears on. Brockin’!"
"Chris Holt","Smoky Tentacles","undefined","Fellow Lancashire legend Chris Holt has no less of a reputation - the driving force behind the seminal Source 49 parties of the early nineties, he is now a resident at the Upstairs at the Horse sessions and also mans the airwaves with Four Corners on Preston FM."
"Common Unity Sound System","Bushrocker Hi-Fi","undefined","Common Unity are from Newcastle. Selector Twinting and Operator Angus have been running together since 2014. Beginning at “Dub Inna Pub”, the city's longest-running reggae event, and hosting their “Tyne Dub Club” event regularly, the pair have studio and live productions on the horizon, working closely with Randy Dread and others."
"Dave Heaton ","The Fortress","http://www.soundcloud.com/t-m-c","Affectionately
  known by longtime Herders as ‘our Dave’, founding member of Toil Soundsystem
  and a veteran who has played every Beat-Herder since its inception, the King
  of Utley himself makes yet another appearance to show the nippers how it’s
  done with his breakbeat expertise. Heaton is hard to be Beaten!"
"Deejay Random","The Snug","undefined","He's here , he's there , he's every fckn where and we love him for it . DMC mentalist bringing mayhem to The Snug and their freshly polished wheels of steel."
"Dirtbox DJs ","The Snug","undefined","Venturing forth from the caves of their spiritual homeland of Keighley, the dirty dozen are responsible for that bloody great thing in’t corner that makes your ears go funny and your dangly bits tremble (the soundsystem). Prepare to get out of your box and deep into the dirt. "
"DJ Daydream","Smoky Tentacles","undefined","*"
"DJ Fflyffylyfbbl","The Perfumed Garden","undefined","With a deep love of reggae and a funky fusion of dance with Afrrca and Latin flavours, DJ fflyffiyfbybl has been DJ-ing since the mid 80s. Following a stroke in 2021 he’s had to relearn how to DJ but is now back to full health and running a monthly night in Caernarfon called Globalheads. Someone with something to celebrate then! “Top DJ in my book” - Andy Kershaw                                                                "
"Dub Defenders","Bushrocker Hi-Fi","undefined","Keeping it real at the heart of the Northwest's dub scene, the aptly named Dub Defenders are Merseyside's finest dub duo. They curate the Dub HQ night, recently supported Dreadzone and have even supported the Prodigy at Liverpool Arena. The crew know what they're doing – no excuses to miss out."
"Endless City","The Factory","undefined",""As far as the eye can hear" Eclectic and otherworldly sounds from here and beyond. Endless City is a tight community of creatives, musicians and Dj's focusing on promoting new and interesting sounds from across the globe and across the street."
"ExP & DJ O.P.1","Stumblefunk","undefined","Ben “ExP” Goodwin is a hip-hop musician based in West Yorkshire. Founder, member and manager of Flame Griller and Jamettone and formerly WYcypher, Sinoptic Music and Tough Crowd. He's joined by DJ OP1, one of the top turntablists in the UK right now, having shared a bill with legendary acts such as Grand Master Flash, Don Letts and Pharoahe Monch. Can't beat a bit of double trouble!"
"EZEE","Stumblefunk","https://soundcloud.com/ezee-1","From the notorious Leeds based party crew Quake Soundsystem, EZEE has played his vast expansion of genres to countless schools of munters. A veteran on the scene and with a deliciously flavoured taste of funkt up rudeness, he brings nothing but bounce to you're feet.                                         "
"Fi Pheeva","The Perfumed Garden","undefined","Pheeva has been mixing since 1998 after being inspired from Helter Skelter tape packs andf the biggest free parties in the Welsh hills.With an ever expanding fan base and a reputation for concise clear mixing she graced the decks both nationally and internationally. While she has maintained a love of techno, after a hiatus from the scene she returned with a much broader sound and now can be found spinning sets across a range of genres including jungle, reggae and old school rave.                                                                         "
"Funk Philosopher","The Snug","undefined","The Socrates of the subwoofer – the Nietzsche of the tweeter – this enlightened soul can be found lost in thought behind the decks, contemplating the mysteries of the world to the stimulating sound of ghetto funk so filthy it’ll have your sweat glands going postal. High and low culture never got rammed together so tightly."
"Fusion Brothers","The Fortress","http://www.soundcloud.com/andy-plews-1","Beat-Herder’s very own dynamic duo, comprised of longtime troublemakers Andy P and the Spat Daddy. Beats so deadly they've been known to fuse entire dancefloors into quivering masses of feet, gurns and asses. Enter The Fortress at your peril!"
"Gabriella T & Jasmine T","Bushrocker Hi-Fi","undefined","These two talented young sisters have recently appeared on Michael McIntyre's Big Show on the BBC and also appeared on the Voice and the Voice Kids where they sang with Will-I-Am! Expect some high energy and fun with reggae music and beyond!"
"Head Tentacle","Smoky Tentacles","undefined","It’s pink, fleshy and about three feet long. Yep, you guessed it… it’s the Head Tentacle! Prepare to get all wrapped up in its clammy embrace as it lulls you to stupefaction with choicest chillax tunes from valleys near and far. Clench that sphincter though.                                                         "
"Inner Cinema","Sunrise","undefined","Residents of The Beats Bizarre, Inner Cinema are the audio visual collaboration between Magiclantern & Electrick Blue. Hailing from the northern wastelands, they play psytrance & psychedelic techno, combining impeccable tune selection with formidable visuals.                                                                 "
"Itchy Eye Fi","Bushrocker Hi-Fi","undefined","Itchy Eye Fi are a hand-built sound system from the hills of Lancashire. Co-founded by Sir Abraham & Count Baldy, a pair of vinyl collectors with a vault crammed to the rafters with drastic plastic. Itchy Eye Fi covers the reggae spectrum from foundation roots through to modern steppas."
"Jake Rollinson","Stumblefunk","https://soundcloud.com/user-93462880","Jake
Rollinson is a passionate vinyl playing breakbeat DJ with a love for techno,
based in the UK. He discovered his love for electronic music at an early age,
inspired by his dad's extensive record collection. Growing up listening to
artists like Jeff Mills and Dave Angel, he quickly developed an understanding
and appreciation for the art of mixing and soon began playing at local clubs
and festivals such as Boombox Circus, Leeds Festival, Made in Leeds & Sid
Fox. He is also a resident DJ at Say What."
"Ken Obi","Stumblefunk","https://on.soundcloud.com/NXcgG","Pretend your glowstick's a lightsaber with Ken Obi (AKA Ken Evil!), DJ, promoter and producer originally from Croydon, regarded as the man that brought Dubstep to Manchester via his seminal Bass Camp event. Ken cut his teeth as part of D&B collective Rollin’ Flava, became the Dubstep resident at Ape Manchester, and has recently worked alongside MAKO. You're going to get some heavy heavy bass from around the globe!"
"Mango Thomas","Stumblefunk","https://soundcloud.com/mangothomasmusic","Mango Thomas is a genre-defying, rule-breaking and mind-bending phenomenon, fraught with laughter, surprise, intensity and excitement! Fusing together a progressive & psychedelic mashup of live and electronic styles, Mango takes you on a magical, mystical and eccentric journey from the depths of the soul to the heights of madness!                                                                               "
"Maria Turme","The Perfumed Garden","https://soundcloud.com/mariaturme","Maria Turme is a celebrated Spanish DJ known for playing Balkan and World music. Her style ranges from reggae to hip-hop, from D&B to cumbia and ska, through to ghetto funk and electro swing. Expect a high-energy, roller-coaster ride of good vibes!                                         "
"Metrodome & Kiva","Bushrocker Hi-Fi","undefined","Metrodome, Manchester based DJ/Producer has worked with Red laser Records, levelzmcr 1985 music and The Mouse Outfit to name a few he will be joined on the Mic by Kiva who is known for his work with Red Eye Hi Fi and a staple part of the Manchester music scene"
"Paarl","Smoky Tentacles","undefined","AKA The Pirate’s Pearl, PaaArrrl will have you saying “ahh” like a dentist with those demonic disco decks. Say Ahh!                                                                               "
"Petrol Hoers","The Launderette","undefined","I AM A HORSE                                                              "
"PG Allstars","The Perfumed Garden","undefined","The Perfumed Garden crew and extended family come together for the final session of the weekend.                                                                                "
"Pocket Size Dave","The Fortress","http://www.soundcloud.com/pocketsizedave","The
  Miniature Mixologist is back! Mixing funky new hooks with crowd pleasing
  classics to create infectious, jackin’ grooves is what Diminutive David does
  best. Equally at home warming up chilly warehouse raves as he is providing a
  5 hour set in a ski resort night club, PSD is going to be big. Just mind you
  don’t step on him."
"Psyko Monkey","Stumblefunk","undefined","Simian psychopath Psykomonkey is a sound system warrior from the depths of the underground, bringing hard dance free party vibes to ravers for nearly 20 years. Mashing hardtek, jungletek, D&B and breakcore, he'll get you shaking your tree and peeling that banana."
"Sean Benton","The Fortress","undefined","A veteran of the dance music scene, Sean has been a DJ since the early 90s, plying his trade both in the UK and Europe over the years. Having spent the best part of the 90s working in Greece and the Canary Islands as a club DJ, Sean has embraced the emerging disco house scene and is back playing regularly, organising his own nights under the brand ‘Some Kinda Disco’. He also hosts for NDC Radio."
"Sir Robin","Stumblefunk","undefined","OG Stumblefunk aristocrat Sir Robin is recognised as their reggae specialist, and has earned his lofty status over the past several years with a residency at the Reggae Thursdays event in the rainy city. More recently this good Sir has been playing sets encompassing a love of African music, particularly soukous and highlife, as well as an uplifting mixture of soulful and jazzy styles old and new, familiar or otherwise."
"Sis Star Selecta","Bushrocker Hi-Fi","undefined","Sis Star Selecta, an emerging disk jockey from Leeds who loves soundsystem culture and music. Learning from Being One and Channel One Soundsystem, Impressa and more, selecting tunes from the heart of Lovers Rock, Roots Reggae and Dub. We spread loveliness and more love"
"Spider","Bushrocker Hi-Fi","undefined","Well-renowned Jamaican mic man and disc jockey Spider is returning to the Dub Centre Plus for the first time in many years! Expect reggae music from across the ages to make you rock and groove with all eight feet..."
"Suck It and Spin","The Factory","undefined","Presumably a reference to the Arctic Monkeys record – or maybe that’s how they do things in Manchester? Any road, Suck It and Spin are one of the North’s top vinyl-only indie club nights and they’ll packing all the anthems to get you reliving your youthful years lying about your age to venue staff at sweaty gigs. Expect the very best in 00s indie, rock n roll, new wave and punk, with a few hidden gems in between. Indie never dies, it just rotates back around.                                                                               "
"Temporal","Stumblefunk","undefined","Temporal is based in Suffolk UK and he started mixing back in 2006. He is
mainly focused on mixing Breakbeat, but also has a love for acid techno."
"The Buddhakkan Headset","Bushrocker Hi-Fi","undefined","Bringing the love to Beat-Herder, The Buddhakkan Headset is a seasoned journeyman, DJ, activist, and co-founder of the original Dub In The Pub sound system. The Buddhakkan Headset delivers the healing power of conscious roots reggae music, with an intense in-the-moment style behind the decks and on the mic."
"The Passmore Experience","The Launderette","undefined","With a music collection spanning two decades and a deep love for all rhythmical beats. Sam Passmore revels in all things Disco, Electro, House, Techno, and everything in between. Presume nothing, expect everything and enjoy the experience.                                                                  "
"Thewisegoldfish","The Perfumed Garden","https://soundcloud.com/thewisegoldfish/","Thewisegoldfish returns to Beat-Herder for a pseudo-psychedelic experience into downtempo grooves curated from all around the globe. The mothership picks him up at 12pm on Saturday so don't miss out!                                                                                "
"Tim Hamblin","The Snug","undefined","Literally the best DJ in the world . The end"
"Underground Roots","Bushrocker Hi-Fi","undefined","Underground Roots Soundsystem have been promoting reggae since 1999, featuring vocalists Danman, City Kulture and Bongo Chilli, playing at Grange Over Dub, Solfest's House of Joy and Reggae at the Rodney in Colne for the last 15 years. Back at Beat-Herder after playing here for the festival's first ten years!"
"Washing Machine Repairman","The Launderette","undefined","Mean Motherfucker from the Depths of Despair                 "
" Kanaloa","Sunrise","https://soundcloud.com/kanaloa_music","Marcus is the DJ and Producer behind the psychedelic trance project Kanaloa, aswell as one half of the creative mind behind Dendrophile.Kanaloa drives atmospheric and deep sounds, combining distorted textures with forest friendly elements and organic soundscapes, enveloping imagination into a fresh new style, Connecting mind and body through unique sound storytelling.                                                    "
" Kanaloa","The Launderette","https://soundcloud.com/kanaloa_music","Marcus is the DJ and Producer behind the psychedelic trance project Kanaloa, aswell as one half of the creative mind behind Dendrophile.Kanaloa drives atmospheric and deep sounds, combining distorted textures with forest friendly elements and organic soundscapes, enveloping imagination into a fresh new style, Connecting mind and body through unique sound storytelling.                                            "
"601","Stumblefunk","undefined","After 15 years in the breakbeat game, Harrogate production team 601 have cemented themselves as stalwarts of the breaks and 140 bass scenes, bringing a formidable heavy sound to the table. The duo have released critically acclaimed releases on labels Passenger, Subslayers, Warehouse Wax and Ape, in the process gaining extensive radio and TV plays. This level of success has ensured 601 are well travelled, from playing clubs and festivals all over the UK, to international parties across Europe and Russia. No matter the size of the venue, 601 always bring their A game."
"Andy Mason","Sunrise","undefined","International superstar DJ producer Andy Mason is back again to grace the Sunrise stage with his under-pants beats. He holds the title of DJ who has the least distance to travel and has been known to fire dance in his budgie smugglers. Now that’s not to be missed."
"Andy Robinson","The Perfumed Garden","undefined","Green-thumbed garden gnome Andy Robinson really is a DJ in a field of his own. From farmyard electronica to semi-detached house and other made up musical genres, this Beat-Herder stalwart will be digging deep to unearth some precious gems for your listening pleasure."
"Bad Friday with the Nun DMC Collective Ft. Bongo Dave","The Parish Church","undefined","*"
"Being One","Bushrocker Hi-Fi","undefined","Be1ng regularly rips it up on Rootsyard Radio Studio with his Musical Mondays slot. A multi-instrumentalist, vocalist and selecta, he spreads positive messages of unity through the medium of all things dub."
"Bishop Benny","The Parish Church","undefined","This man has been showered in some unholy liquids and come out Baptised with a filty beat. prepare for him to rain his blessings down on you, in the form a dirty drop!!                         "
"Bobby Swerve ","The Illustrious Society","undefined"," Interested
in playing musical fables through anything that’s funky. Musically interested
in all genres that encapsulate the past, present and beaten path de tours. Having
been around music from a very early age there’s an expansive range of
influences from the last four decades and a whole myriad of sounds and culture. Essentially
it’s all things funky that get into your private parts."
"Bunker Pop","The Launderette","undefined","People power in the disco hour                                              "
"Captain Scarlet","The Launderette","undefined","*"
"Charlie Swainston's Sweet Berry Elixir","The Launderette","https://soundcloud.com/charlie-swainston/sets/the-sweet-berry-elixir","*"
"Choir boy Quentin","The Parish Church","undefined","Don't be fooled by his innocent demeanour and angelic looks, choirboy Quentin will have you on your knees begging for redemption in the form of a bass drop!                                "
"Crystal GEF","Stumblefunk","http://soundcloud.com/crystal-gef","If you have a strong lust for those wobbly baselines, that make you scrunch your face up in an enjoyable disgust, then this wannabe rudeboy will be right up your street. Always fully loaded with an arsenal of breakbeat weapons - you can always depend on the highly addictive Crystal GEF to get the dancefloor rocking."
"Daddy One Love","Bushrocker Hi-Fi","https://soundcloud.com/steve-ja/studio-one-love-roots-mix","Two big anniversaries this year for Steve Jarvis: 60 years young, and 33 years running One Love Sound System! Dealing in Jamaican vintage roots and culture, expect only the finest nuggets of vinyl gold for the Friday night sunset slot on the mighty red boxes of the Bushrocker Family Hi Fi!"
"Dan Hacker","The Illustrious Society","undefined","Almost
30 years behind the decks, having played at Sankeys, Bed, Love2Be, Jazzys,
Cubes, Angels and numerous festivals, remixes and solo productions out on
labels from as far as Brazil, Austria and Accrington, Dan will be bringing
house music in some form or another. Expect Latin and disco influences, but in
all honesty, anything is possible!"
"Diablos Gospel Gooch Rescue","The Parish Church","undefined","Wake shakey I am the Lord of the dance said he......"
"DIPP's Morning Chorus","The Parish Church","undefined","Straight from Liverpool's warehouses and clubs, DiPP is a tech house music DJ and producer. Weve dragged him out of the studio to get the Church jumping with his funky music style!"
"DJ 3XRCST ","Trash Manor","undefined","Music aimed at the feet is an old philosophy that Malcolm and Fraser (Soul Messengers) adopted over 30 years ago, digging deep in those far away crates and finding music that you can’t help but dance to. DJing all over the Midlands, playing rare soul, funk, r&b, ska and Northern soul to make your liver quiver and your bones shiver!                                                                              "
"DJ Clumsy","Stumblefunk","https://soundcloud.com/djclumsymadhatters","Co-founder of the Madhatters Soundsystem based in Preston, Clumsy has residencies with GASHcollective and Megadog Soundsystem and has recently played alongside Zion Train, Dreadzone, The Orb, Sicknote, Astralaisia, Eat Static and Major Triads to name a few. If he doesn’t drop his discs he’ll sure as hell drop the bass so fingers crossed that Clumsy comes through!"
"DJ Iah ","Sunrise","https://soundcloud.com/dj-iah","DJ iah began djing in 2011,he has now played in many different countries including India, Germany, Spain, Portugal, Romania and South Africa as well as many events and festivals across the UK, sharing the stage with many well known, reputable artists.His sets focus on using mesmerising sounds, heavy basslines and twisted melodies to create an atmospheric journey into the heavier and darker side of Full On Psytrance.           "
"DJM ","Stumblefunk","https://soundcloud.com/djm_leeds_uk","Leeds man DJM – AKA Dan the Hat – has been mashing up the North since 2006, making mix cocktails you'd never expect. A founding member of Quake Soundsystem and turntablist in A Man About A Dog, DJM has risen from the underground scene to the festival and club circuit in the UK and beyond, playing along a list of luminaries including Beat-Herder alumni Lee Scratch Perry, Beardyman, Krafty Kuts, A-Skillz and plenty more! "
"DRU Yoga","The Perfumed Garden","undefined","Be totally at one with what gives you satisfaction (Dharana 51, Vigyana Tantra). Things in life bring us joy. Come along and immerse yourself in Dru Yoga with Heather. Explore the flow and movement that is available to you. Navigate your way through variations in strength, length, balance and rest. Move mindfully and listen to your body.                                                                          "
"Dub Dadda","Bushrocker Hi-Fi","undefined","Dubdadda,
  or Jono as he is known throughout the Reggae world, is one of the mainstays
  of the UK Reggae scene. Hailing from Manchester, he was a founder member of
  the renowned Community Charge – the best homegrown reggae talent in the UK in
  their era."
"Ed Tangent","Sunrise","https://soundcloud.com/ed-tangent","Sunrise front man Ed has been the main organiser for Sunrise forever and has been promoting the underground in the northwest from the early 90’s. His DJ career has remained solid throughout the past decades with a following throughout the UK and beyond."
"El Grego","The Illustrious Society","undefined","Mirror
ball worshipper, acid house lover, resident Demented Disco nuisance.Helping
throw parties since 2013, El Grego has graced the decks with the
likes of Graeme Park, Danielle Moore, Allister Whitehead, Greg Wilson
and Joe Goddard to name but a few. A Beatherder veteran of six years, he
returns once again this year with more of his Disco nonsense. "
"End of Level Baddie","The Launderette","undefined","*"
"Father Blackburn ","The Parish Church","undefined","Our Scouse Father, who art in Heaven, Hallowed be thy Rave. when Beat-Herder comes, this Scouse is the one! Expect an eclectic mix of dance floor bad boys to groove you into the heavens."
"Father Clumsy & The White Noise Mass","The Parish Church","https://soundcloud.com/djclumsymadhatters","Clumsy Madhatters, a veteran of the jungle scene will have all you Parishioners bouncing all over the aisles and skanking in the pews with his Ragga jungle set.                                                                          "
"Feline","Smoky Tentacles","undefined","Cool cat Feline is a DJ/MC/B-Boy/vibe instigator and experienced party starter. Incorporating roots, reggae, dancehall, hip hop and jungle, he is well-versed in rocking any kind of crowd with heavy basslines and positive flows. A frontman for various live outfits including his main band the Midnight Zu, he has hosted monstrous raves, festival stages, jam sessions and open mics, while sharing stages with acts such as Zion Train, The Mouse Outfit, Mungo’s HiFi, Prince Fatty and many more.                                                                         "
"Greg Zogg","Sunrise","undefined","Organiser and DJ for one of the longest running psy-trance nights in the UK Planet Zogg Sheffield returns to the field with a bag full of smashies and niceys. "
"Home Grown DJs","The Snug","undefined","HomeGrown DJs consist of a duo of Cumbrian party starters Jamie Graham and Ian Chatfield, who have been running their successful club nights and demolishing dancefloors since 2005. Style-wise, expect a magnificent mashup of funk, soul, hip hop, reggae, breaks, d’n’b and anything else that gets the place rocking. They’ve warmed up for DJ Yoda, Scratch Perverts, Freestylers, Craig Charles, Coldcut, DJ Food, Mooqee, Pimpsoul and many other significant names in electronica. Prepare to get toastie."
"Impressa Sound System & Alexis","Bushrocker Hi-Fi","undefined","Part of the Bushrocker Family, Alexis is a solo vocalist working mostly in Reggae, Dub and DnB. She has worked on music with Freedom Masses and recently with Roots Addis Muzik (FR). As featured on the Roots Sisters show on Real Roots Radio, Impressa describes herself as a “womban journeying through life and love”. Reggae roots and dub from a woman on a mission!"
"Jacob Coid","The Illustrious Society","undefined","The quintessential
rock star DJ, Jacob’s on stage antics have earned him the title of number one
party starter all over the North West. Best known for his long term residencies
for Demented Disco and Suck It And Spin, he can also be seen plucking the bass
for Manchester based classic rock band, Them Velvet Tongues. Expect high energy
disco, funk, soul and more Rock and Roll attitude than you can shake a bottle
of JD at!!"
"Jake Cains","The Illustrious Society","undefined","Jake Cains is a
renowned local DJ who has been bringing his unique sound to dance floors for
many years now. with his own events and others, Guaranteed to bring the high
vibes when playing his House, Techno and Disco sets."
"James Sennick","The Illustrious Society","undefined","Loving
the current disco / re-edit movement, James has found his niche by consistently
providing  the perfect soundtrack, containing eclectic groovy numbers with
a disco and funk feel. Taking
musical inspiration from his favourite DJs, such as Greg Wilson, Peza and Disco
Tech, he arrives with his musical box of tricks at the Illustrious Society
this summer! "
"Jimmy Rummage","BH&DWMSC","undefined","Jim plus
  his infamous face fungus make a much-anticipated return to the podium this
  year, so roll up to see a man possessed by the singular desire to make you
  sweat your plums off. Let him have a quick rummage in his bag of tricks and
  he’ll be good to get the groove on."
"Jo Jo & Junior Jahvis","Bushrocker Hi-Fi","undefined","Part of the One Love Soundsystem/Bushrocker family, these two Lancastrian youths have got enough wicked dub and reggae tunes to keep the party rocking from the start to the very last drop. IRIE!"
"John Paynter","The Perfumed Garden","http://www.soundcloud.com/yeadonred","Highly-respected Leeds-based DJ and producer John Paynter is head honcho at Paisley Dark Records, and hosts the monthly radio show “A Space Age Freak Out”, where he showcases the very best and latest psychedelic-infused electronic dance music."
"John Tree","The Perfumed Garden","undefined","John will be going back to his roots, bringing a relaxed daytime set to early revellers. Expect a fair bit of Canterbury Scene, and other sunny psychotropic stuff."
"Just Jess","The Launderette","https://soundcloud.com/justjessyork","*"
"Larry Sosa","The Illustrious Society","undefined","Head Honcho of Demented Disco, Larry Sosa is
known in the DJ world as true lover of disco, jazzy house, and Balearic music.
With over 20 years of experience in the industry, he has entertained audiences
at some of the world's most famous clubs and festivals, including Pikes Hotel,
Joshua Brooks, Gorilla, The Beat-Herder festival, Highest Point and The Golden
Lion. "
"Lee Baby Simms Roadshow","The Snug","undefined","Crate digger extraordinaire Lee is coming down from North East to amaze and astound us at the Snug - but don't tell anyone, it's our secret!                                                   "
"Licence to jungle takeover (ft. Northern Scum)","Stumblefunk","undefined","Licence to Jungle is exactly what is says on the tin – a jungle and breaks session featuring a revolving array of DJs. This time the wonderfully named Northern Scum will be stepping up to the mark to turn Stumblefunk into a steaming hotpot of junglist fun. Sounds barmy!"
"Lorraine","Sunrise","undefined","Lorraine has mesmerised audiences week after week across the Uk and Internationally. She is always in demand for her keen ear for just the right tune and a smile to match her beats, all in line and no awkward gaps. Alway a must see on any lineup"
"Lost Element","Sunrise","undefined","DJ and Producer since 2008, with a passion for psy prog, morning, melodic full-on and related styles of psychedelic trance.Founder of Elemental Psytrance, Resident for Crystal Kids, Remedy and Audioaddictz, and a regular booking for Sunrise and Tribal Sphere."
"M1 Dukebox","BH&DWMSC","undefined","Is it a bird? Is it a beanbag? Hell no, it’s the Michelin-Starred Marauder himself. Mitch is as Mitch does, so pull your finger out and prepare to feel the funk in a way you’ve never felt it before. Like creeping up on you with its fangs at the ready kinda thing. Ow!"
"Magiclantern","Sunrise","https://soundcloud.com/magiclanternaudiovisual","Magiclantern has been at the forefront of the UK psychedelic underground since before the turn of the century. His DJ and VJ residencies have included Cabbage, Kulu & Sunrise to name a few. He has had the pleasure VJ & DJ sets at many festivals and events including Ozora, Noisily, Anthropos, Solfest, All About Love."
"Make It Funky with Samuel George & Friends","The Perfumed Garden","undefined","An hour of upbeat house funk brought to you by DJ Samuel George with live Sax and Percussion. Get your dancing shoes at the ready because we’re about to make it funky!                                                                           "
"Marco Giannini","The Parish Church","https://soundcloud.com/djmarcogiannini","*"
"Massey","The Parish Church","undefined","*"
"Mighty Oak","Bushrocker Hi-Fi","https://soundcloud.com/mighty-oak-productions","Mighty Oak are soundman/builder/selector Ben, and producer/selector Jofis, running their Scotland-based label and soundsystem. Having had their releases played by some of the biggest soundsystems in the dub reggae scene, Mighty Oak are one group not to be missed."
"Mikey Nomimono","The Launderette","undefined","Mickey Nomimono as he explores mundane life, desperate parties and kitchen sink realism through scathing DIY punk music                                                                          "
